Тикер;Шаг цены;Комиссия;Начало периода;Конец периода;Индекс начала периода;Индекс конца периода;Полное название стратегии;Сокращенное название стратегии;Описание стратегии
RTS.F;10;2.5;18 12 2020;17 06 2021;16;17;Обратная MonkeyN;Обратная MonkeyN;[ Обратная | MonkeyN | Тип закрытия: FixPercect | N: 100 | Stop: 100 | Уровень ранзака: 3 | % Закрытия: 100 | Фильтр вне ранзака: False | Фильтр выше-ниже: True | Динамический стоп: True ]

Направление;Тип закрытия;Индекс входа;Индекс выхода;Цена входа;Цена выхода;Причина входа;Причина выхода
B;Stop;114868954;114869468;132660;132660;;;
S;Stop;114869585;114869875;132710;132810;;;
B;Stop;114870066;114870183;132750;132650;;;
S;Stop;114870253;114870457;132740;132840;;;
S;Stop;114870988;114871332;133000;133100;;;
B;Stop;114870948;114871886;132950;132950;;;
B;Stop;114871677;114871888;133030;132930;;;
S;Stop;114872001;114872279;132970;132970;;;
S;Stop;114872230;114872307;132910;133010;;;
B;Stop;114872480;114872831;132980;132980;;;
B;Stop;114872830;114872983;132970;132970;;;
B;Stop;114873940;114874329;133410;133310;;;
S;Stop;114874185;114874375;133430;133430;;;
S;Stop;114874357;114874541;133410;133510;;;
S;Stop;114875360;114875656;133660;133660;;;
B;Stop;114875220;114875812;133610;133610;;;
S;Stop;114875654;114875902;133640;133740;;;
B;Stop;114875810;114876288;133610;133610;;;
B;Stop;114876121;114876300;133700;133600;;;
S;Stop;114876425;114876816;133640;133640;;;
B;Stop;114876869;114876972;133540;133440;;;
S;Stop;114877135;114877495;133440;133540;;;
S;Stop;114876711;114877500;133550;133550;;;
S;Stop;114877861;114878028;133590;133690;;;
B;Stop;114877746;114878152;133580;133580;;;
B;Stop;114878142;114878196;133600;133500;;;
S;Stop;114878275;114878317;133560;133660;;;
B;Stop;114878450;114878895;133600;133590;;;
B;Stop;114878894;114879023;133580;133480;;;
S;Stop;114878705;114879477;133610;133610;;;
S;Stop;114879294;114879481;133530;133630;;;
B;Stop;114879724;114879858;133630;133530;;;
S;Stop;114880170;114880373;133530;133530;;;
S;Stop;114880333;114880396;133500;133600;;;
S;Stop;114880713;114880754;133510;133610;;;
B;Stop;114880532;114880806;133500;133500;;;
S;Stop;114880858;114881243;133600;133700;;;
S;Stop;114879786;114881243;133700;133700;;;
B;Stop;114881032;114881392;133560;133560;;;
B;Stop;114881342;114881455;133630;133530;;;
S;Stop;114881503;114881780;133630;133730;;;
B;Stop;114882039;114882311;133740;133640;;;
B;Stop;114881535;114882686;133550;133550;;;
B;Stop;114882608;114882692;133630;133530;;;
B;Stop;114880800;114882693;133520;133520;;;
S;Stop;114882413;114882816;133670;133670;;;
S;Stop;114882766;114882830;133620;133720;;;
S;Stop;114882971;114883125;133710;133810;;;
B;Stop;114883210;114883344;133740;133640;;;
B;Stop;114882911;114883344;133640;133640;;;
B;SoftwareClose;114877316;114883505;133380;133710;Фиксированная 6;;
B;SoftwareClose;114877194;114883505;133370;133710;Фиксированная 5;;
B;SoftwareClose;114873550;114883505;133300;133710;Фиксированная 4;;
B;SoftwareClose;114873191;114883505;133140;133710;Фиксированная 3;;
B;SoftwareClose;114872980;114883505;133000;133710;Фиксированная 2;;
B;SoftwareClose;114868761;114883505;132600;133710;Фиксированная 1;;
S;Stop;114883497;114883669;133700;133710;;;
S;Stop;114883270;114883688;133760;133760;;;
S;Stop;114883668;114884073;133700;133800;;;
B;Stop;114884915;114885347;134020;133920;;;
B;Stop;114883869;114885830;133680;133680;;;
B;Stop;114883703;114885832;133660;133660;;;
B;Stop;114883636;114885857;133630;133630;;;
S;Stop;114886107;114886396;133590;133690;;;
S;Stop;114885902;114886434;133730;133730;;;
B;Stop;114886508;114886593;133670;133570;;;
B;Stop;114886849;114887131;133640;133540;;;
B;Stop;114886207;114887131;133540;133540;;;
S;Stop;114887308;114887474;133550;133650;;;
S;Stop;114886670;114887545;133660;133660;;;
B;Stop;114888357;114888389;133940;133840;;;
S;Stop;114888456;114888761;133940;133940;;;
S;Stop;114888747;114888882;133900;134000;;;
B;Stop;114888580;114888950;133890;133890;;;
B;Stop;114888947;114889059;133900;133800;;;
S;Stop;114889096;114889162;133890;133990;;;
B;Stop;114889375;114889427;133990;133890;;;
S;Stop;114889562;114889765;133990;134090;;;
B;Stop;114889941;114890096;134080;133980;;;
B;SoftwareClose;114887833;114890257;133690;134060;Фиксированная 2;;
B;SoftwareClose;114887608;114890257;133590;134060;Фиксированная 1;;
S;Stop;114890162;114890467;134020;134020;;;
B;Stop;114890290;114890606;133970;133870;;;
S;Stop;114890433;114890780;133980;133980;;;
S;Stop;114890776;114890802;133940;134040;;;
B;SoftwareClose;114891221;114891492;134020;134220;Фиксированная 2;;
B;SoftwareClose;114890962;114891492;133990;134220;Фиксированная 1;;
S;Stop;114891893;114891995;134130;134230;;;
B;Stop;114892016;114892056;134130;134030;;;
S;Stop;114892187;114892447;134000;134100;;;
B;Stop;114892718;114893022;134090;134090;;;
B;Stop;114892903;114893072;134140;134040;;;
B;Stop;114892279;114893204;133980;133980;;;
S;Stop;114893573;114894032;133940;134040;;;
B;Stop;114894094;114894559;133940;133940;;;
B;Stop;114893879;114894609;133880;133880;;;
B;Stop;114894548;114894633;133970;133870;;;
B;Stop;114894999;114895120;133930;133830;;;
S;Stop;114894704;114895556;133960;133960;;;
S;Stop;114895353;114895563;133870;133970;;;
B;Stop;114895705;114895928;133920;133820;;;
S;Stop;114896184;114896684;133830;133930;;;
S;Stop;114896962;114897044;133950;134050;;;
S;SoftwareClose;114897325;114898671;134030;131980;Фиксированная 1;;
B;SoftwareClose;114897162;114901186;134010;131550;Фиксированная 2;;
B;SoftwareClose;114896785;114901186;133860;131550;Фиксированная 1;;
S;Stop;114903544;114903595;131130;131230;;;
S;Stop;114903223;114903686;131290;131290;;;
B;Stop;114904126;114904136;131400;131300;;;
S;Stop;114904722;114904835;131040;131090;;;
S;Stop;114904834;114905031;131080;131180;;;
S;Stop;114905356;114905384;131250;131350;;;
B;Stop;114905675;114905958;131450;131350;;;
B;SoftwareClose;114905317;114906035;131180;131320;Фиксированная 2;;
B;SoftwareClose;114904791;114906035;131010;131320;Фиксированная 1;;
S;Stop;114906190;114906422;131220;131220;;;
B;Stop;114906317;114906564;131170;131070;;;
S;Stop;114907341;114907496;130800;130900;;;
S;SoftwareClose;114906720;114907497;131020;130890;Фиксированная 3;;
S;SoftwareClose;114906395;114907497;131200;130890;Фиксированная 2;;
S;SoftwareClose;114905721;114907497;131480;130890;Фиксированная 1;;
B;Stop;114907673;114908033;130910;130810;;;
S;Stop;114909184;114909622;130510;130610;;;
B;Stop;114909675;114909745;130510;130410;;;
B;Stop;114910218;114910306;130330;130230;;;
S;Stop;114910871;114911204;130150;130250;;;
S;Stop;114910459;114911573;130280;130280;;;
B;Stop;114911356;114911666;130170;130170;;;
B;Stop;114911041;114911700;130120;130120;;;
B;Stop;114911652;114911702;130200;130100;;;
S;Stop;114912161;114912279;130030;130030;;;
S;Stop;114912278;114912934;130020;130120;;;
S;Stop;114911466;114913175;130240;130240;;;
S;Stop;114910101;114913434;130410;130410;;;
B;Stop;114913624;114914014;130360;130260;;;
S;Stop;114914127;114914359;130260;130360;;;
B;Stop;114914503;114914600;130400;130300;;;
S;Stop;114914835;114914929;130280;130380;;;
B;Stop;114915007;114915204;130320;130220;;;
S;Stop;114915318;114915364;130290;130390;;;
B;Stop;114915463;114915547;130310;130210;;;
S;Stop;114915776;114915943;130200;130300;;;
S;Stop;114915595;114915943;130300;130300;;;
B;Stop;114915998;114916168;130270;130170;;;
B;Stop;114915855;114916247;130130;130130;;;
S;Stop;114916371;114916433;130130;130230;;;
S;SoftwareClose;114916207;114916434;130270;130220;Фиксированная 3;;
S;SoftwareClose;114908745;114916434;130680;130220;Фиксированная 2;;
S;SoftwareClose;114908341;114916434;130830;130220;Фиксированная 1;;
B;Stop;114916573;114916603;130250;130150;;;
S;Stop;114916643;114916723;130230;130230;;;
B;Stop;114916683;114916941;130160;130060;;;
B;Stop;114912396;114917361;129960;129960;;;
S;Stop;114917169;114917433;130070;130070;;;
S;Stop;114918022;114918092;129810;129910;;;
S;Stop;114918293;114918351;129840;129940;;;
B;Stop;114918765;114918869;129930;129830;;;
B;Stop;114918125;114918879;129810;129810;;;
S;Stop;114918943;114919087;129890;129890;;;
S;Stop;114919447;114919667;129750;129850;;;
S;Stop;114919085;114919669;129870;129870;;;
B;Stop;114919825;114919978;129890;129790;;;
S;Stop;114920207;114920484;129780;129780;;;
S;Stop;114920425;114920487;129710;129810;;;
B;Stop;114920280;114920533;129690;129690;;;
B;Stop;114920529;114920654;129710;129610;;;
S;Stop;114920981;114921153;129660;129760;;;
B;Stop;114921196;114921348;129680;129680;;;
B;Stop;114921336;114921404;129690;129590;;;
S;Stop;114921495;114921796;129670;129770;;;
S;SoftwareClose;114919874;114921948;129940;129760;Фиксированная 4;;
S;SoftwareClose;114917430;114921948;130040;129760;Фиксированная 3;;
S;SoftwareClose;114916794;114921948;130170;129760;Фиксированная 2;;
S;SoftwareClose;114916720;114921948;130220;129760;Фиксированная 1;;
B;Stop;114922394;114922709;129900;129900;;;
B;Stop;114922679;114922810;129910;129810;;;
S;Stop;114922976;114923113;129860;129960;;;
B;Stop;114923494;114923818;130030;129930;;;
S;Stop;114923737;114923884;130050;130050;;;
S;Stop;114923848;114923957;130030;130130;;;
B;Stop;114924002;114924054;130040;129940;;;
S;Stop;114924294;114924374;129930;130030;;;
B;Stop;114924500;114924791;130010;130010;;;
B;Stop;114924694;114925051;130060;130060;;;
S;Stop;114924719;114925207;130150;130250;;;
B;Stop;114925585;114925861;130330;130230;;;
B;SoftwareClose;114925036;114925957;130060;130140;Фиксированная 3;;
B;SoftwareClose;114921947;114925957;129750;130140;Фиксированная 2;;
B;SoftwareClose;114921601;114925957;129630;130140;Фиксированная 1;;
S;Stop;114926584;114926782;129890;129990;;;
B;Stop;114926811;114926877;129890;129790;;;
S;Stop;114927757;114927869;129720;129820;;;
S;Stop;114927151;114927869;129820;129820;;;
B;Stop;114927945;114928184;129780;129680;;;
S;Stop;114928557;114928885;129570;129670;;;
B;Stop;114928667;114929015;129550;129550;;;
B;Stop;114928932;114929043;129620;129520;;;
B;Stop;114929826;114930070;129300;129200;;;
S;Stop;114930361;114930828;129190;129190;;;
B;Stop;114930595;114931006;129120;129020;;;
B;Stop;114931598;114931707;128900;128800;;;
S;Stop;114932368;114932695;128710;128710;;;
S;Stop;114932692;114932759;128700;128800;;;
B;Stop;114932944;114933046;128810;128710;;;
S;Stop;114933421;114933450;128520;128620;;;
S;Stop;114933748;114933958;128710;128710;;;
B;Stop;114933723;114933985;128640;128600;;;
S;Stop;114933899;114934043;128680;128680;;;
B;Stop;114933984;114934266;128610;128510;;;
B;Stop;114934392;114934632;128520;128420;;;
