Тикер;Шаг цены;Комиссия;Начало периода;Конец периода;Индекс начала периода;Индекс конца периода;Полное название стратегии;Сокращенное название стратегии;Описание стратегии
RTS.F;10;2.5;18 12 2020;17 06 2021;16;17;Обратная MonkeyN;Обратная MonkeyN;[ Обратная | MonkeyN | Тип закрытия: FixPercect | N: 100 | Stop: 100 | Уровень ранзака: 3 | % Закрытия: 100 | Фильтр вне ранзака: False | Фильтр выше-ниже: True | Динамический стоп: True ]

Направление;Тип закрытия;Индекс входа;Индекс выхода;Цена входа;Цена выхода;Причина входа;Причина выхода
B;Stop;116432638;116432978;136390;136390;;;
B;Stop;116432937;116432992;136450;136350;;;
S;Stop;116433507;116433594;136210;136310;;;
B;Stop;116433650;116433706;136250;136150;;;
S;Stop;116433995;116434248;136140;136240;;;
B;Stop;116434541;116434593;136330;136230;;;
B;Stop;116434037;116434750;136090;136090;;;
S;Stop;116434855;116434913;136150;136250;;;
B;Stop;116435061;116435099;136260;136160;;;
S;Stop;116435289;116435420;136160;136260;;;
B;Stop;116435604;116435762;136240;136140;;;
B;Stop;116435322;116435778;136130;136130;;;
S;Stop;116435831;116435946;136210;136310;;;
B;Stop;116437313;116437688;136740;136640;;;
B;SoftwareClose;116426871;116438384;135380;136280;Фиксированная 1;;
S;Stop;116438612;116439059;136230;136230;;;
B;Stop;116438660;116439294;136180;136080;;;
S;Stop;116439637;116440030;136070;136070;;;
B;Stop;116440131;116440247;135980;135880;;;
S;Stop;116440723;116440886;135770;135870;;;
S;Stop;116439901;116441257;135990;135990;;;
B;Stop;116441513;116441620;136000;135900;;;
S;Stop;116441726;116441879;135970;136070;;;
B;Stop;116441922;116442024;135980;135880;;;
S;Stop;116442282;116442421;135840;135940;;;
S;Stop;116442692;116442725;135940;136040;;;
B;Stop;116442511;116442840;135910;135910;;;
B;Stop;116442811;116442850;135950;135850;;;
S;Stop;116443309;116443681;135710;135810;;;
B;Stop;116443563;116443850;135700;135700;;;
B;Stop;116443733;116443907;135760;135660;;;
S;Stop;116443984;116444207;135720;135820;;;
S;Stop;116444464;116445038;135890;136080;;;
S;Stop;116439203;116445129;136190;136190;;;
S;Stop;116439058;116445279;136240;136240;;;
S;Stop;116445628;116445727;136270;136370;;;
B;Stop;116445424;116445763;136240;136240;;;
S;Stop;116445837;116446035;136290;136390;;;
B;Stop;116446317;116446615;136400;136400;;;
B;Stop;116446485;116446651;136480;136380;;;
B;Stop;116446170;116446652;136370;136370;;;
S;Stop;116446714;116447110;136460;136460;;;
S;Stop;116447107;116447255;136450;136550;;;
B;Stop;116447470;116447598;136530;136430;;;
B;Stop;116446833;116447646;136400;136400;;;
S;Stop;116447893;116448047;136380;136480;;;
S;Stop;116437598;116448718;136750;136750;;;
S;Stop;116448664;116448746;136660;136760;;;
S;Stop;116449210;116449626;136730;136830;;;
B;Stop;116449847;116450178;136810;136710;;;
B;Stop;116449052;116450178;136710;136710;;;
S;Stop;116450325;116450537;136730;136830;;;
B;Stop;116450692;116450786;136810;136710;;;
S;Stop;116450905;116451012;136770;136870;;;
S;Stop;116451785;116451885;137030;137130;;;
B;Stop;116451688;116451992;137000;137000;;;
B;Stop;116451967;116452047;137080;136980;;;
S;Stop;116452497;116452668;136940;136940;;;
S;Stop;116452589;116452783;136890;136890;;;
S;Stop;116452780;116452896;136880;136980;;;
B;Stop;116452939;116453189;136910;136910;;;
S;Stop;116453241;116453365;136960;137060;;;
B;Stop;116453441;116453686;136990;136990;;;
B;Stop;116453665;116453728;137040;136940;;;
B;Stop;116453161;116453762;136930;136930;;;
B;Stop;116453872;116453990;136950;136850;;;
S;Stop;116453826;116454094;137020;137020;;;
S;Stop;116454058;116454125;136930;137030;;;
B;Stop;116454283;116454460;137020;136920;;;
S;Stop;116454705;116455023;136900;137000;;;
B;Stop;116455092;116455146;136950;136850;;;
S;Stop;116455351;116455438;136920;137020;;;
B;Stop;116455462;116456057;136930;136920;;;
B;Stop;116456056;116456154;136930;136930;;;
B;Stop;116456153;116456378;136940;136840;;;
B;Stop;116448632;116456630;136600;136600;;;
B;Stop;116448135;116457580;136400;136400;;;
S;Stop;116457488;116458082;136510;136510;;;
B;SoftwareClose;116445751;116458167;136270;136530;Фиксированная 2;;
B;SoftwareClose;116444409;116458167;135840;136530;Фиксированная 1;;
B;Stop;116458275;116458375;136440;136340;;;
S;Stop;116458748;116459150;136280;136280;;;
S;Stop;116459126;116459221;136240;136340;;;
S;Stop;116457848;116459590;136490;136490;;;
S;Stop;116457230;116459822;136610;136610;;;
B;Stop;116460364;116460530;136740;136740;;;
B;Stop;116460516;116460658;136790;136690;;;
S;Stop;116460707;116460800;136760;136760;;;
S;Stop;116460797;116460950;136730;136830;;;
B;Stop;116461151;116461217;136780;136680;;;
B;Stop;116461375;116461468;136760;136660;;;
B;SoftwareClose;116459927;116461469;136610;136670;Фиксированная 2;;
B;SoftwareClose;116459746;116461469;136490;136670;Фиксированная 1;;
S;Stop;116461583;116461629;136650;136750;;;
S;Stop;116461258;116461636;136770;136770;;;
S;Stop;116455564;116461750;136960;136960;;;
B;Stop;116461912;116462102;136880;136880;;;
B;Stop;116462097;116462175;136890;136790;;;
S;Stop;116462387;116462534;136830;136830;;;
S;Stop;116462496;116462547;136800;136900;;;
B;Stop;116462602;116462742;136800;136700;;;
S;Stop;116463434;116463829;136570;136670;;;
B;Stop;116463686;116463906;136560;136560;;;
B;Stop;116463895;116464056;136570;136470;;;
S;Stop;116464292;116464376;136390;136490;;;
S;Stop;116464008;116464487;136580;136580;;;
S;Stop;116463024;116464707;136740;136740;;;
S;Stop;116462832;116464741;136760;136760;;;
B;Stop;116464912;116465085;136730;136630;;;
B;Stop;116465202;116465362;136710;136610;;;
S;Stop;116465469;116465761;136630;136630;;;
B;Stop;116465806;116465991;136550;136450;;;
S;Stop;116466147;116466199;136430;136530;;;
B;Stop;116466254;116466289;136440;136340;;;
S;Stop;116466999;116467373;136200;136200;;;
S;Stop;116467172;116467410;136140;136240;;;
S;Stop;116467709;116467745;136160;136260;;;
B;Stop;116467491;116467892;136150;136150;;;
B;Stop;116467832;116467915;136210;136110;;;
S;Stop;116468219;116468334;136000;136100;;;
S;Stop;116466593;116468908;136320;136320;;;
S;SoftwareClose;116465750;116468981;136570;136240;Фиксированная 2;;
S;SoftwareClose;116465120;116468981;136720;136240;Фиксированная 1;;
B;Stop;116469636;116469955;136460;136460;;;
B;Stop;116469881;116470119;136480;136380;;;
B;Stop;116469404;116470311;136320;136320;;;
B;Stop;116468980;116470376;136230;136230;;;
B;Stop;116468699;116470552;136160;136160;;;
S;Stop;116470623;116471019;136210;136210;;;
S;Stop;116470915;116471158;136200;136300;;;
S;Stop;116470052;116471374;136530;136530;;;
B;Stop;116471452;116471543;136430;136330;;;
S;Stop;116471611;116471805;136370;136470;;;
B;Stop;116471930;116472060;136410;136410;;;
S;Stop;116472159;116472298;136450;136550;;;
S;Stop;116473178;116473257;136660;136760;;;
B;Stop;116473479;116473539;136740;136640;;;
B;Stop;116472767;116473544;136630;136630;;;
S;Stop;116473619;116473849;136670;136670;;;
S;Stop;116473809;116473933;136620;136720;;;
B;SoftwareClose;116473964;116474011;136640;136490;Фиксированная 5;;
B;SoftwareClose;116472056;116474011;136430;136490;Фиксированная 4;;
B;SoftwareClose;116470822;116474011;136160;136490;Фиксированная 3;;
B;SoftwareClose;116468579;116474011;136070;136490;Фиксированная 2;;
B;SoftwareClose;116468418;116474011;136020;136490;Фиксированная 1;;
S;Stop;116474097;116474121;136350;136450;;;
B;Stop;116474210;116474455;136450;136350;;;
S;Stop;116474595;116474783;136380;136380;;;
S;Stop;116474762;116474826;136340;136440;;;
S;Stop;116474260;116474828;136460;136460;;;
B;Stop;116474879;116475168;136360;136360;;;
B;Stop;116475136;116475595;136400;136380;;;
B;Stop;116475594;116475725;136390;136290;;;
S;Stop;116476700;116476865;136090;136090;;;
S;Stop;116476351;116476884;136130;136130;;;
S;Stop;116476849;116476895;136080;136180;;;
B;Stop;116476284;116477086;136050;136050;;;
S;SoftwareClose;116477195;116477461;136140;136090;Фиксированная 4;;
S;SoftwareClose;116476107;116477461;136290;136090;Фиксированная 3;;
S;SoftwareClose;116475787;116477461;136380;136090;Фиксированная 2;;
S;SoftwareClose;116475043;116477461;136410;136090;Фиксированная 1;;
B;Stop;116477830;116477920;136210;136210;;;
S;Stop;116478070;116478157;136230;136330;;;
B;Stop;116478536;116478580;136350;136250;;;
B;Stop;116477909;116478614;136220;136220;;;
S;Stop;116478726;116478941;136310;136410;;;
B;Stop;116479531;116479790;136660;136560;;;
S;Stop;116479872;116480447;136650;136750;;;
S;Stop;116480673;116480832;136730;136830;;;
S;Stop;116481014;116483285;136880;137400;;;
B;SoftwareClose;116480538;116483693;136670;137190;Фиксированная 2;;
B;SoftwareClose;116477046;116483693;136120;137190;Фиксированная 1;;
S;Stop;116483982;116484046;137160;137260;;;
S;Stop;116483547;116484286;137350;137350;;;
B;Stop;116484432;116484812;137270;137270;;;
S;Stop;116484578;116484918;137320;137420;;;
B;Stop;116484783;116485057;137290;137290;;;
B;Stop;116485011;116485175;137360;137260;;;
B;Stop;116484112;116485519;137160;137160;;;
S;Stop;116485741;116486133;136980;137080;;;
S;Stop;116485363;116486661;137270;137270;;;
B;Stop;116486766;116486902;137210;137110;;;
B;Stop;116486474;116486902;137110;137110;;;
S;Stop;116486991;116487265;137130;137230;;;
B;Stop;116487471;116487763;137300;137300;;;
B;Stop;116487708;116487780;137320;137220;;;
S;Stop;116487616;116487827;137390;137390;;;
S;Stop;116487819;116487934;137310;137410;;;
S;Stop;116488307;116488495;137490;137490;;;
B;Stop;116488098;116488722;137430;137430;;;
B;Stop;116488718;116488882;137430;137330;;;
S;Stop;116489303;116489621;137210;137310;;;
B;Stop;116489549;116489874;137160;137160;;;
B;Stop;116489702;116489875;137250;137150;;;
B;Stop;116486029;116490210;136930;136930;;;
S;Stop;116490711;116490974;136730;136830;;;
B;Stop;116491227;116491297;136820;136720;;;
S;Stop;116491731;116491903;136630;136730;;;
S;Stop;116491410;116492052;136780;136780;;;
B;Stop;116492508;116492604;136850;136750;;;
B;Stop;116492094;116492609;136720;136720;;;
S;Stop;116492676;116492711;136820;136920;;;
S;SoftwareClose;116490084;116492782;137070;137010;Фиксированная 3;;
S;SoftwareClose;116489018;116492782;137390;137010;Фиксированная 2;;
S;SoftwareClose;116488483;116492782;137450;137010;Фиксированная 1;;
B;Stop;116492978;116493217;137000;136900;;;
B;Stop;116493354;116493534;136980;136880;;;
S;Stop;116493271;116493657;136990;136990;;;
B;SoftwareClose;116491990;116493997;136660;136720;Фиксированная 1;;
S;Stop;116493621;116494382;136960;137060;;;
B;Stop;116494667;116494870;137130;137030;;;
S;Stop;116494968;116495065;137010;137110;;;
B;Stop;116495176;116495436;137100;137000;;;
B;Stop;116495569;116495624;137070;136970;;;
S;Stop;116496032;116496115;136920;137020;;;
S;Stop;116495846;116496115;137020;137020;;;
B;Stop;116496161;116496215;136920;136820;;;
S;Stop;116496413;116496451;136800;136900;;;
B;Stop;116496569;116496712;136830;136730;;;
S;Stop;116496870;116497131;136730;136830;;;
B;Stop;116497297;116497336;136880;136780;;;
S;Stop;116497957;116498299;136630;136730;;;
B;Stop;116498095;116498418;136590;136590;;;
B;Stop;116498357;116498435;136630;136530;;;
S;Stop;116498982;116499248;136410;136410;;;
S;Stop;116499223;116499283;136370;136470;;;
S;SoftwareClose;116497686;116499680;136740;136530;Фиксированная 3;;
S;SoftwareClose;116497535;116499680;136810;136530;Фиксированная 2;;
S;SoftwareClose;116495498;116499680;137080;136530;Фиксированная 1;;
B;Stop;116499981;116500125;136650;136550;;;
B;Stop;116499674;116500309;136520;136520;;;
S;Stop;116500403;116500740;136570;136570;;;
S;Stop;116500670;116500741;136480;136580;;;
B;Stop;116500840;116501019;136500;136400;;;
S;Stop;116501229;116501392;136370;136470;;;
S;Stop;116500911;116501409;136510;136510;;;
S;Stop;116501638;116501726;136520;136620;;;
B;Stop;116501801;116502198;136540;136540;;;
B;SoftwareClose;116502776;116502835;136750;136800;Фиксированная 4;;
B;SoftwareClose;116502509;116502835;136700;136800;Фиксированная 3;;
B;SoftwareClose;116502145;116502835;136590;136800;Фиксированная 2;;
B;SoftwareClose;116501501;116502835;136490;136800;Фиксированная 1;;
S;Stop;116503084;116503136;136790;136890;;;
B;Stop;116503348;116503438;136820;136720;;;
S;Stop;116503805;116504140;136740;136740;;;
S;Stop;116503970;116504267;136670;136770;;;
B;Stop;116504282;116504321;136680;136580;;;
B;Stop;116504564;116504879;136510;136410;;;
S;Stop;116505526;116505633;136330;136430;;;
S;Stop;116505103;116505634;136440;136440;;;
B;Stop;116505825;116505951;136370;136270;;;
S;Stop;116506023;116506153;136350;136450;;;
B;Stop;116506178;116506589;136350;136250;;;
S;Stop;116506710;116507482;136250;136250;;;
S;Stop;116507132;116507512;136170;136270;;;
S;Stop;116506310;116507553;136360;136360;;;
B;Stop;116507840;116507989;136280;136180;;;
S;Stop;116508458;116508722;136140;136140;;;
B;Stop;116508882;116510206;136100;135770;;;
S;Stop;116511588;116511662;135410;135510;;;
S;Stop;116510901;116511815;135580;135580;;;
B;Stop;116512047;116512115;135520;135420;;;
S;Stop;116513299;116513762;135190;135290;;;
S;Stop;116512299;116514164;135430;135430;;;
B;Stop;116514280;116514587;135390;135290;;;
S;Stop;116514724;116514797;135340;135440;;;
B;Stop;116514936;116515026;135420;135320;;;
B;Stop;116513559;116515243;135150;135150;;;
B;Stop;116516342;116516456;134920;134820;;;
S;Stop;116516654;116516865;134810;134810;;;
S;Stop;116516864;116516927;134800;134900;;;
B;Stop;116516735;116517013;134770;134770;;;
B;Stop;116517004;116517112;134800;134700;;;
B;Stop;116517529;116517621;134680;134580;;;
S;Stop;116517468;116517910;134690;134690;;;
S;Stop;116517813;116517912;134610;134710;;;
B;Stop;116517989;116518333;134740;134740;;;
B;Stop;116518296;116518342;134820;134720;;;
B;Stop;116518574;116518728;134730;134630;;;
S;Stop;116519602;116519881;134420;134520;;;
B;Stop;116520008;116520145;134440;134440;;;
S;Stop;116520041;116520344;134500;134600;;;
S;Stop;116518855;116520373;134640;134640;;;
S;Stop;116518405;116520663;134750;134750;;;
B;Stop;116520784;116521020;134670;134570;;;
B;Stop;116520119;116521122;134450;134450;;;
S;Stop;116521210;116521310;134540;134640;;;
B;Stop;116521435;116521700;134630;134630;;;
B;Stop;116521641;116521735;134710;134610;;;
B;Stop;116522034;116522085;134520;134420;;;
S;Stop;116522393;116522466;134420;134520;;;
S;Stop;116521918;116522502;134580;134580;;;
B;Stop;116522644;116522715;134520;134420;;;
S;Stop;116523377;116523463;134210;134310;;;
B;Stop;116523672;116523798;134400;134300;;;
S;Stop;116523893;116523935;134260;134360;;;
B;Stop;116523963;116523996;134270;134170;;;
S;Stop;116524141;116524346;134240;134340;;;
B;Stop;116524287;116524426;134220;134220;;;
B;Stop;116524894;116525156;134330;134330;;;
S;Stop;116525005;116525175;134380;134400;;;
B;Stop;116525076;116525337;134350;134250;;;
B;Stop;116524416;116525337;134250;134250;;;
S;Stop;116525471;116525526;134290;134390;;;
S;Stop;116525174;116525560;134410;134410;;;
B;Stop;116525887;116526016;134430;134330;;;
S;Stop;116526068;116526303;134370;134370;;;
S;Stop;116526926;116527103;134060;134160;;;
B;Stop;116527141;116527581;134080;133980;;;
B;Stop;116528018;116528081;133950;133850;;;
S;Stop;116528320;116528395;133890;133990;;;
S;Stop;116527826;116528397;134000;134000;;;
S;Stop;116527261;116528584;134140;134140;;;
B;Stop;116528700;116529310;134110;134110;;;
S;Stop;116529017;116529431;134140;134140;;;
S;Stop;116529428;116529499;134130;134230;;;
B;Stop;116529597;116529699;134150;134150;;;
B;Stop;116529309;116529750;134100;134100;;;
B;Stop;116529696;116529774;134160;134060;;;
S;Stop;116530009;116530163;133980;134080;;;
S;Stop;116526522;116530618;134270;134270;;;
S;Stop;116530567;116530621;134180;134280;;;
S;Stop;116526302;116530785;134360;134360;;;
B;Stop;116530708;116531057;134230;134230;;;
B;Stop;116530846;116531093;134280;134180;;;
B;Stop;116530468;116531113;134150;134150;;;
B;Stop;116530304;116531369;134010;134010;;;
S;Stop;116531303;116531463;134130;134130;;;
S;Stop;116531440;116531527;134100;134200;;;
S;SoftwareClose;116516247;116531677;134950;134290;Фиксированная 5;;
S;SoftwareClose;116515834;116531677;135070;134290;Фиксированная 4;;
S;SoftwareClose;116508708;116531677;136110;134290;Фиксированная 3;;
S;SoftwareClose;116508123;116531677;136230;134290;Фиксированная 2;;
S;SoftwareClose;116504467;116531677;136540;134290;Фиксированная 1;;
B;Stop;116532241;116532411;134400;134400;;;
B;Stop;116532383;116532475;134410;134310;;;
S;Stop;116532647;116532851;134360;134360;;;
S;Stop;116532830;116532885;134330;134430;;;
B;Stop;116532734;116532930;134320;134320;;;
B;Stop;116532921;116533175;134330;134230;;;
B;Stop;116531349;116533530;134080;134080;;;
B;Stop;116533506;116533653;134110;134010;;;
B;Stop;116534459;116534538;133810;133710;;;
S;Stop;116534991;116535106;133740;133840;;;
S;Stop;116534375;116535227;133900;133900;;;
B;Stop;116535462;116535604;133850;133750;;;
S;Stop;116535701;116535876;133800;133900;;;
B;Stop;116535953;116536223;133820;133720;;;
S;Stop;116536389;116536566;133800;133800;;;
S;Stop;116536257;116536600;133820;133820;;;
S;Stop;116536056;116536609;133870;133870;;;
S;Stop;116536562;116536655;133780;133880;;;
B;Stop;116536716;116536757;133800;133700;;;
S;Stop;116536951;116537006;133760;133860;;;
S;SoftwareClose;116533805;116537290;134070;134000;Фиксированная 4;;
S;SoftwareClose;116533483;116537290;134200;134000;Фиксированная 3;;
S;SoftwareClose;116533312;116537290;134240;134000;Фиксированная 2;;
S;SoftwareClose;116532304;116537290;134490;134000;Фиксированная 1;;
B;Stop;116537703;116537875;134040;134040;;;
B;Stop;116537842;116538056;134060;133960;;;
B;Stop;116537150;116538202;133800;133800;;;
B;Stop;116538926;116539144;133550;133450;;;
S;Stop;116539500;116539759;133440;133440;;;
S;Stop;116539702;116539850;133380;133480;;;
S;Stop;116540073;116540388;133470;133570;;;
S;Stop;116538800;116540391;133580;133580;;;
B;Stop;116540871;116541149;133620;133520;;;
B;Stop;116540528;116541389;133480;133480;;;
S;Stop;116541269;116541451;133600;133600;;;
S;Stop;116541101;116541522;133630;133630;;;
S;Stop;116541437;116541531;133560;133660;;;
S;SoftwareClose;116538374;116541532;133790;133670;Фиксированная 1;;
B;Stop;116542023;116542214;133810;133710;;;
B;Stop;116541823;116542216;133690;133690;;;
B;Stop;116541718;116542234;133650;133650;;;
S;Stop;116542557;116542702;133570;133570;;;
B;Stop;116539957;116542813;133420;133420;;;
B;Stop;116542749;116542825;133490;133390;;;
S;Stop;116543159;116543249;133290;133390;;;
B;Stop;116543387;116543453;133430;133330;;;
S;Stop;116543499;116543748;133420;133420;;;
B;Stop;116543780;116543822;133370;133270;;;
S;Stop;116544021;116544297;133310;133310;;;
B;Stop;116544467;116544647;133250;133150;;;
S;Stop;116544285;116544777;133270;133270;;;
B;Stop;116544808;116545077;133180;133080;;;
S;Stop;116546574;116546660;132940;133040;;;
S;Stop;116545765;116546793;133100;133100;;;
S;Stop;116545204;116546846;133180;133180;;;
S;Stop;116544980;116546992;133200;133200;;;
B;Stop;116547132;116547211;133110;133010;;;
S;Stop;116547339;116547367;133000;133100;;;
B;Stop;116547458;116547497;133030;132930;;;
S;Stop;116548074;116548097;132810;132910;;;
B;Stop;116548231;116548389;132930;132830;;;
S;Stop;116548573;116548750;132880;132880;;;
S;Stop;116548744;116548910;132860;132960;;;
S;SoftwareClose;116544773;116549106;133250;132930;Фиксированная 3;;
S;SoftwareClose;116543570;116549106;133390;132930;Фиксированная 2;;
S;SoftwareClose;116542701;116549106;133560;132930;Фиксированная 1;;
B;Stop;116549348;116550095;133110;133110;;;
B;Stop;116549642;116550107;133190;133090;;;
S;Stop;116549772;116550240;133230;133230;;;
S;Stop;116550170;116550269;133160;133260;;;
B;Stop;116551000;116551260;133500;133500;;;
B;Stop;116551200;116551325;133530;133430;;;
B;Stop;116551559;116551620;133490;133390;;;
S;Stop;116551386;116551736;133530;133530;;;
S;Stop;116551729;116551753;133460;133560;;;
B;Stop;116552075;116552261;133750;133750;;;
B;Stop;116552254;116552317;133760;133660;;;
S;Stop;116552417;116552626;133720;133820;;;
B;Stop;116552773;116552886;133780;133680;;;
B;SoftwareClose;116549103;116553040;132940;133590;Фиксированная 3;;
B;SoftwareClose;116549012;116553040;132910;133590;Фиксированная 2;;
B;SoftwareClose;116548657;116553040;132840;133590;Фиксированная 1;;
S;Stop;116553313;116553749;133590;133590;;;
S;Stop;116553624;116553750;133500;133600;;;
B;Stop;116554534;116554981;133960;133960;;;
B;Stop;116554967;116555615;134000;133970;;;
S;Stop;116555029;116555774;134010;134110;;;
B;Stop;116556172;116556267;134150;134050;;;
B;Stop;116555614;116556333;133980;133980;;;
B;Stop;116554315;116556425;133900;133900;;;
S;Stop;116556593;116556949;133910;134010;;;
B;Stop;116557029;116557116;134010;133910;;;
B;Stop;116556808;116557117;133900;133900;;;
B;SoftwareClose;116553909;116557117;133680;133900;Фиксированная 1;;
S;Stop;116557234;116557709;133910;133920;;;
B;Stop;116557479;116557791;133890;133880;;;
B;Stop;116557769;116557907;133910;133910;;;
B;Stop;116557906;116558131;133920;133820;;;
S;Stop;116558261;116558349;133860;134100;;;
S;Stop;116558103;116558349;133930;134100;;;
S;Stop;116557708;116558349;133930;134100;;;
B;Stop;116558523;116558670;133980;133880;;;
S;Stop;116558987;116559146;133830;133930;;;
S;Stop;116558736;116559148;133950;133950;;;
S;Stop;116558560;116559222;133990;133990;;;
B;Stop;116559303;116559493;133890;133790;;;
B;Stop;116559065;116559493;133790;133790;;;
S;Stop;116559840;116559985;133690;133690;;;
S;Stop;116559984;116560053;133680;133780;;;
S;SoftwareClose;116558483;116560054;134030;133770;Фиксированная 1;;
B;Stop;116560385;116560518;133860;133860;;;
B;Stop;116560505;116560561;133880;133780;;;
B;Stop;116560161;116560579;133710;133710;;;
S;Stop;116560605;116560691;133810;133910;;;
B;Stop;116560753;116560975;133810;133810;;;
B;Stop;116560968;116561019;133830;133730;;;
S;Stop;116560902;116561202;133860;133860;;;
S;Stop;116561131;116561234;133820;133920;;;
B;Stop;116561363;116561437;133860;133760;;;
S;Stop;116562061;116562369;133600;133600;;;
S;Stop;116562347;116562417;133550;133650;;;
S;Stop;116564480;116564500;133600;133700;;;
B;Stop;116566175;116567533;134150;134050;;;
S;Stop;116567894;116567940;134070;134170;;;
S;Stop;116569426;116569837;134160;134160;;;
S;Stop;116569832;116570017;134150;134250;;;
B;Stop;116570390;116570475;134300;134200;;;
B;Stop;116570124;116570478;134190;134190;;;
B;Stop;116569355;116570510;134140;134140;;;
B;SoftwareClose;116564707;116571246;133680;133920;Фиксированная 2;;
B;SoftwareClose;116564367;116571246;133560;133920;Фиксированная 1;;
S;Stop;116571690;116571807;133800;133800;;;
S;Stop;116571803;116571910;133780;133880;;;
B;Stop;116572008;116572164;133840;133840;;;
B;Stop;116572162;116572290;133860;133760;;;
B;Stop;116571768;116572294;133720;133720;;;
S;Stop;116572914;116572982;133490;133590;;;
S;Stop;116573142;116573403;133570;133570;;;
S;Stop;116573392;116573425;133540;133640;;;
S;SoftwareClose;116572330;116573681;133820;133630;Фиксированная 3;;
S;SoftwareClose;116570936;116573681;134070;133630;Фиксированная 2;;
S;SoftwareClose;116570588;116573681;134230;133630;Фиксированная 1;;
B;Stop;116573618;116573933;133710;133610;;;
B;Stop;116573054;116574036;133510;133510;;;
B;Stop;116574130;116574233;133540;133440;;;
S;Stop;116574445;116574742;133460;133460;;;
S;Stop;116574716;116574795;133410;133510;;;
S;SoftwareClose;116574087;116574796;133590;133520;Фиксированная 2;;
S;SoftwareClose;116573711;116574796;133720;133520;Фиксированная 1;;
B;Stop;116574921;116574972;133470;133370;;;
S;Stop;116575107;116575216;133410;133510;;;
B;Stop;116575376;116575567;133470;133470;;;
B;Stop;116575544;116575576;133510;133410;;;
S;Stop;116575601;116575827;133490;133590;;;
B;Stop;116576039;116576264;133600;133500;;;
B;Stop;116575734;116576271;133470;133470;;;
B;Stop;116576518;116576552;133450;133350;;;
B;Stop;116576916;116577034;133310;133210;;;
S;SoftwareClose;116577698;116578457;133110;132460;Фиксированная 4;;
S;SoftwareClose;116577393;116578457;133180;132460;Фиксированная 3;;
S;SoftwareClose;116576750;116578457;133320;132460;Фиксированная 2;;
S;SoftwareClose;116576415;116578457;133490;132460;Фиксированная 1;;
B;Stop;116581923;116581954;132120;132020;;;
S;SoftwareClose;116582166;116582267;132000;132000;Фиксированная 1;;
B;Stop;116582684;116582837;132180;132180;;;
B;Stop;116582836;116582881;132190;132090;;;
S;Stop;116582996;116583113;132100;132200;;;
B;Stop;116583139;116583209;132120;132020;;;
B;Stop;116582266;116583220;131990;131990;;;
S;Stop;116583330;116583418;132070;132170;;;
B;Stop;116583726;116583937;132250;132250;;;
B;Stop;116583914;116583973;132290;132190;;;
S;Stop;116584011;116584136;132270;132370;;;
B;Stop;116584180;116584304;132280;132180;;;
B;SoftwareClose;116583558;116584353;132080;132140;Фиксированная 3;;
B;SoftwareClose;116583495;116584353;132070;132140;Фиксированная 2;;
B;SoftwareClose;116583381;116584353;132050;132140;Фиксированная 1;;
S;Stop;116584704;116584825;132010;132010;;;
B;Stop;116584971;116585066;131930;131830;;;
S;Stop;116585951;116586006;131540;131640;;;
B;Stop;116586077;116586207;131600;131500;;;
S;Stop;116586661;116586950;131380;131380;;;
S;Stop;116586946;116587072;131380;131480;;;
B;Stop;116587209;116587274;131550;131450;;;
B;Stop;116586901;116587616;131300;131300;;;
S;Stop;116587711;116588250;131380;131380;;;
S;Stop;116588169;116588261;131300;131400;;;
B;Stop;116588575;116588639;131440;131340;;;
S;Stop;116588706;116588803;131420;131420;;;
S;Stop;116589118;116589209;131160;131260;;;
B;Stop;116589333;116589364;131260;131160;;;
S;Stop;116589534;116589771;131140;131140;;;
S;Stop;116589769;116589820;131120;131220;;;
S;SoftwareClose;116588776;116590041;131380;131230;Фиксированная 4;;
S;SoftwareClose;116584824;116590041;132000;131230;Фиксированная 3;;
S;SoftwareClose;116584492;116590041;132090;131230;Фиксированная 2;;
S;SoftwareClose;116584258;116590041;132310;131230;Фиксированная 1;;
B;Stop;116590165;116590304;131260;131260;;;
B;Stop;116590225;116590394;131310;131210;;;
B;Stop;116590040;116590394;131210;131210;;;
S;Stop;116590372;116590444;131320;131320;;;
S;Stop;116590420;116590691;131310;131410;;;
B;Stop;116590797;116590839;131410;131310;;;
S;Stop;116590961;116590984;131380;131480;;;
B;Stop;116591679;116591744;131710;131610;;;
S;Stop;116591847;116591951;131660;131760;;;
S;Stop;116592347;116592476;131830;131930;;;
B;Stop;116592213;116592958;131770;131770;;;
B;Stop;116592700;116593019;131830;131730;;;
S;Stop;116593211;116593236;131730;131830;;;
S;Stop;116592797;116593247;131880;131880;;;
B;Stop;116593356;116593438;131820;131720;;;
S;Stop;116593491;116593698;131800;131800;;;
S;Stop;116593666;116593851;131730;131830;;;
S;Stop;116594652;116594709;132060;132160;;;
B;Stop;116594482;116594818;132050;132050;;;
B;Stop;116594783;116594848;132110;132010;;;
B;SoftwareClose;116591362;116595101;131540;131850;Фиксированная 4;;
B;SoftwareClose;116591122;116595101;131490;131850;Фиксированная 3;;
B;SoftwareClose;116590559;116595101;131260;131850;Фиксированная 2;;
B;SoftwareClose;116589628;116595101;131080;131850;Фиксированная 1;;
S;Stop;116595100;116595217;131860;131860;;;
B;Stop;116595264;116595329;131770;131670;;;
S;Stop;116595558;116595596;131710;131810;;;
S;Stop;116595207;116595612;131820;131820;;;
